"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-16 18:00:00," TS",10.8,-35.5,25,1010
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-17 00:00:00," TS",11.2,-37.4,30,1009
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-17 06:00:00," TS",11.7,-39.6,30,1008
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-17 12:00:00," TS",12.3,-42,35,1006
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-17 18:00:00," TS",13.1,-44.2,35,1003
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-18 00:00:00," TS",13.6,-46.2,40,1002
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-18 06:00:00," TS",14.1,-48,45,1001
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-18 12:00:00," TS",14.6,-49.9,45,1000
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-18 18:00:00," TS",15.4,-51.8,45,1000
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-19 00:00:00," TS",16.3,-53.5,45,1001
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-19 06:00:00," TS",17.2,-55.3,45,1002
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-19 12:00:00," TS",18,-56.9,45,1005
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-19 18:00:00," TS",18.8,-58.3,45,1007
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-20 00:00:00," TS",19.8,-59.3,40,1011
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-20 06:00:00," TS",20.7,-60,40,1013
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-20 12:00:00," TS",21.7,-60.7,40,1015
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-20 18:00:00," TS",22.5,-61.5,40,1014
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-21 00:00:00," TS",23.2,-62.4,45,1014
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-21 06:00:00," TS",23.9,-63.3,45,1010
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-21 12:00:00," TS",24.4,-64.2,50,1007
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-21 18:00:00," TS",24.8,-64.9,50,1004
"1992230N11325",1992,1992,4," NA"," NA","ANDREW",1992-08-22 00:00:00," TS",25.3,-65.9,55,1000
