"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-18 06:00:00," DS",13,-94.4,20,1010
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-18 12:00:00," DS",13.2,-95,25,1010
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-18 18:00:00," TS",13.4,-95.5,25,1009
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-19 00:00:00," TS",13.2,-96,25,1009
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-19 06:00:00," TS",13,-96.5,30,1007
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-19 12:00:00," TS",12.8,-97,35,1005
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-19 18:00:00," TS",12.5,-97.5,40,1002
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-20 00:00:00," TS",12.2,-98.1,50,997
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-20 06:00:00," TS",12,-98.8,55,994
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-20 12:00:00," TS",11.8,-99.4,60,991
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-20 18:00:00," TS",11.6,-100,65,987
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-21 00:00:00," TS",11.5,-100.6,65,987
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-21 06:00:00," TS",11.5,-101.3,65,987
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-21 12:00:00," TS",11.5,-102,70,984
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-21 18:00:00," TS",11.6,-102.8,75,980
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-22 00:00:00," TS",11.6,-103.6,80,977
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-22 06:00:00," TS",11.6,-104.4,85,973
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-22 12:00:00," TS",11.6,-105.2,85,973
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-22 18:00:00," TS",11.7,-106,85,973
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-23 00:00:00," TS",11.7,-106.8,80,977
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-23 06:00:00," TS",11.8,-107.7,75,980
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-23 12:00:00," TS",12,-108.7,85,973
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-23 18:00:00," TS",12.1,-109.8,95,966
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-24 00:00:00," TS",12.2,-111,90,970
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-24 06:00:00," TS",12.3,-112.1,90,970
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-24 12:00:00," TS",12.3,-113.3,100,962
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-24 18:00:00," TS",12.5,-114.3,115,948
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-25 00:00:00," TS",12.9,-115.4,140,921
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-25 06:00:00," TS",13.2,-116.5,140,921
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-25 12:00:00," TS",13.6,-117.6,125,938
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-25 18:00:00," TS",14,-118.5,110,953
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-26 00:00:00," TS",14.6,-119.4,100,962
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-26 06:00:00," TS",15.1,-120.3,90,970
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-26 12:00:00," TS",15.4,-121.1,85,973
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-26 18:00:00," TS",15.6,-121.8,70,984
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-27 00:00:00," TS",15.7,-122.5,55,994
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-27 06:00:00," TS",15.8,-123.1,50,997
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-27 12:00:00," TS",15.8,-123.5,45,1000
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-27 18:00:00," TS",15.6,-123.9,40,1002
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-28 00:00:00," TS",15.4,-124.1,35,1005
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-28 06:00:00," TS",15.3,-124.1,35,1005
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-28 12:00:00," TS",15.2,-124.1,35,1005
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-28 18:00:00," DS",15.1,-123.9,30,1006
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-29 00:00:00," DS",15.2,-123.6,30,1006
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-29 06:00:00," DS",15.3,-123.5,30,1006
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-29 12:00:00," DS",15.4,-123.5,25,1007
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-29 18:00:00," DS",15.5,-123.5,25,1008
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-30 00:00:00," DS",15.7,-123.5,25,1008
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-30 06:00:00," DS",16,-123.4,25,1009
"2010169N13266",2010,2010,4," EP"," MM","CELIA",2010-06-30 12:00:00," DS",16.2,-123.4,20,1010
