"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-23 06:00:00," TS",11.6,-96.7,30,1006
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-23 12:00:00," TS",11.9,-98.5,35,1004
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-23 18:00:00," TS",12.2,-100.5,45,1000
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-24 00:00:00," TS",12.1,-102.3,55,994
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-24 06:00:00," TS",12.3,-103.7,70,984
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-24 12:00:00," TS",12.7,-105.1,110,952
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-24 18:00:00," TS",13.2,-106.6,120,942
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-25 00:00:00," TS",13.8,-108,130,931
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-25 06:00:00," TS",14.3,-109.5,140,921
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-25 12:00:00," TS",14.7,-111,130,931
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-25 18:00:00," TS",15,-112.5,115,948
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-26 00:00:00," TS",15.1,-113.8,105,956
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-26 06:00:00," TS",15.2,-114.9,100,962
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-26 12:00:00," TS",15.5,-116,100,962
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-26 18:00:00," TS",16,-117.1,95,966
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-27 00:00:00," TS",16.4,-118.2,85,973
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-27 06:00:00," TS",16.8,-119.2,75,981
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-27 12:00:00," TS",17.3,-120.3,65,987
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-27 18:00:00," TS",17.8,-121.4,60,990
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-28 00:00:00," TS",18.4,-122.5,55,994
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-28 06:00:00," TS",19,-123.3,55,994
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-28 12:00:00," TS",19.8,-124.1,55,994
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-28 18:00:00," TS",20.6,-124.9,50,997
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-29 00:00:00," TS",21.5,-125.8,45,1000
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-29 06:00:00," TS",22.6,-126.5,40,1003
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-29 12:00:00," TS",23.7,-127.1,35,1006
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-29 18:00:00," TS",24.8,-127.6,30,1007
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-30 00:00:00," TS",26.2,-128,30,1008
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-30 06:00:00," TS",27.5,-128.3,30,1009
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-30 12:00:00," TS",28.6,-128.5,25,1011
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-30 18:00:00," DS",29.6,-128.6,20,1013
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-31 00:00:00," DS",30.6,-128.5,20,1014
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-31 06:00:00," DS",31.5,-128.3,20,1014
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-31 12:00:00," DS",32.4,-128,15,1015
"2002204N12263",2002,2002,7," EP"," MM","ELIDA",2002-07-31 18:00:00," DS",33,-127.6,15,1016
