"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"1994197N09229",1994,1994,5," EP"," MM","EMILIA",1994-07-16 00:00:00," TS",8.5,-131.3,30,1010
"1994197N09229",1994,1994,5," EP"," MM","EMILIA",1994-07-16 06:00:00," TS",8.5,-132.3,30,1009
"1994197N09229",1994,1994,5," EP"," MM","EMILIA",1994-07-16 12:00:00," TS",8.8,-133.3,35,1006
"1994197N09229",1994,1994,5," EP"," MM","EMILIA",1994-07-16 18:00:00," TS",9.2,-134.5,40,1000
"1994197N09229",1994,1994,5," EP"," MM","EMILIA",1994-07-17 00:00:00," TS",9.6,-135.9,55,995
"1994197N09229",1994,1994,5," EP"," MM","EMILIA",1994-07-17 06:00:00," TS",9.9,-137.4,70,988
"1994197N09229",1994,1994,5," EP"," MM","EMILIA",1994-07-17 12:00:00," TS",10.1,-138.8,80,979
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-17 18:00:00," TS",10.3,-140.1,90,968
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-18 00:00:00," TS",10.4,-141.4,100,962
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-18 06:00:00," TS",10.6,-142.7,115,958
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-18 12:00:00," TS",10.7,-143.8,120,953
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-18 18:00:00," TS",10.8,-144.4,125,940
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-19 00:00:00," TS",11,-145.5,130,930
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-19 06:00:00," TS",11.3,-147,135,928
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-19 12:00:00," TS",11.5,-148.4,135,926
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-19 18:00:00," TS",11.7,-149.6,140,926
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-20 00:00:00," TS",11.9,-150.6,135,926
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-20 06:00:00," TS",12.3,-151.6,135,929
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-20 12:00:00," TS",12.6,-152.6,135,936
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-20 18:00:00," TS",13,-153.4,135,935
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-21 00:00:00," TS",13.5,-154.2,130,932
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-21 06:00:00," TS",14.1,-154.9,130,936
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-21 12:00:00," TS",14.7,-155.5,125,945
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-21 18:00:00," TS",15.4,-156,120,955
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-22 00:00:00," TS",16.2,-156.6,110,965
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-22 06:00:00," TS",16.9,-157.2,100,980
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-22 12:00:00," TS",17.4,-158,85,990
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-22 18:00:00," TS",17.9,-158.8,75,995
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-23 00:00:00," TS",18.3,-159.5,60,999
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-23 06:00:00," TS",18.8,-160.2,55,1002
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-23 12:00:00," TS",19.2,-161,45,1003
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-23 18:00:00," TS",19.7,-162,35,1004
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-24 00:00:00," TS",20.2,-162.9,30,1005
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-24 06:00:00," TS",20.5,-163.6,30,1006
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-24 12:00:00," TS",20.7,-164.5,25,1007
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-24 18:00:00," TS",21,-165.4,25,1009
"1994197N09229",1994,1994,5," EP"," CP","EMILIA",1994-07-25 00:00:00," TS",21.3,-166.4,25,1010
