"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-08-31 12:00:00," TS",11.5,-56.6,25,1009
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-08-31 18:00:00," TS",11.5,-58,30,1008
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-09-01 00:00:00," TS",12.1,-59.4,35,1007
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-01 06:00:00," TS",12.1,-61.1,40,1005
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-01 08:45:00," TS",12.1,-61.7,45,1001
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-01 12:00:00," TS",12.2,-62.8,50,1001
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-01 18:00:00," TS",12.4,-64.5,60,999
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-02 00:00:00," TS",12.6,-66.1,65,992
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-02 06:00:00," TS",12.7,-67.8,85,985
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-02 12:00:00," TS",13,-69.4,90,980
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-02 18:00:00," TS",13.4,-71.1,115,962
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-03 00:00:00," TS",13.8,-73,150,935
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-03 06:00:00," TS",14,-75,150,930
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-03 07:00:00," TS",14,-75.3,150,929
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-03 12:00:00," TS",14.2,-76.9,140,937
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-03 18:00:00," TS",14.3,-78.7,115,951
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-04 00:00:00," TS",14.4,-80.4,115,950
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-04 06:00:00," TS",14.3,-81.9,135,939
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-04 12:00:00," TS",14.3,-83.2,140,934
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-09-04 18:00:00," TS",14.3,-84.4,85,962
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-09-05 00:00:00," TS",14.6,-85.4,50,982
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-09-05 06:00:00," TS",15,-86.4,25,1004
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-09-05 12:00:00," DS",15.5,-87.3,20,1006
"2007244N12303",2007,2007,6," NA"," CS","FELIX",2007-09-05 18:00:00," DS",16.1,-88.3,20,1007
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-09-06 00:00:00," DS",16.5,-89.5,20,1007
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-09-06 06:00:00," DS",16.7,-90.8,20,1007
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-09-06 12:00:00," DS",17.2,-92.4,20,1007
"2007244N12303",2007,2007,6," NA"," NA","FELIX",2007-09-06 18:00:00," DS",17.7,-93.8,15,1010
