"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-16 00:00:00," NR",10.4,-142.5,25,1010
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-16 06:00:00," NR",10.4,-143.9,25,1010
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-16 12:00:00," NR",10.4,-145.4,25,1010
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-16 18:00:00," NR",10.3,-146.7,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-17 00:00:00," NR",10.3,-147.9,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-17 06:00:00," NR",10.3,-148.7,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-17 12:00:00," NR",10.3,-149.7,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-17 18:00:00," NR",10.3,-150.6,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-18 00:00:00," NR",10.3,-151.6,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-18 06:00:00," NR",10.3,-152.6,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-18 12:00:00," NR",10.3,-153.6,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-18 18:00:00," NR",10.3,-154.5,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-19 00:00:00," NR",10.3,-155.4,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-19 06:00:00," NR",10.3,-156.3,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-19 12:00:00," NR",10.3,-157.1,25,1009
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-19 18:00:00," NR",10.3,-157.9,25,1008
"2006228N10218",2006,2006,9," EP"," CP","IOKE",2006-08-20 00:00:00," TS",10.4,-158.7,30,1012
