"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-06 00:00:00," TS",13.8,-31.4,30,1009
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-06 06:00:00," TS",13.9,-32.7,35,1005
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-06 12:00:00," TS",13.6,-33.9,40,1003
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-06 18:00:00," TS",13.4,-34.9,45,1000
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-07 00:00:00," TS",13.5,-35.8,55,994
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-07 06:00:00," TS",13.9,-36.5,60,991
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-07 12:00:00," TS",14.4,-37.3,65,987
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-07 18:00:00," TS",15.2,-38.5,70,984
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-08 00:00:00," TS",15.8,-39.7,80,976
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-08 06:00:00," TS",16.5,-40.9,95,966
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-08 12:00:00," TS",17.1,-42,110,952
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-08 18:00:00," TS",17.6,-43.1,110,952
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-09 00:00:00," TS",18.2,-44.1,115,948
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-09 06:00:00," TS",18.9,-45.2,115,948
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-09 12:00:00," TS",19.4,-46.3,115,948
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-09 18:00:00," TS",20,-47.3,115,948
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-10 00:00:00," TS",20.5,-48.3,110,952
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-10 06:00:00," TS",20.9,-49.4,110,952
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-10 12:00:00," TS",21.1,-50.4,115,948
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-10 18:00:00," TS",21.1,-51.4,120,942
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-11 00:00:00," TS",21.2,-52.3,125,935
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-11 06:00:00," TS",21.3,-53.2,125,935
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-11 12:00:00," TS",21.4,-54,135,925
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-11 18:00:00," TS",21.5,-54.8,145,915
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-12 00:00:00," TS",21.6,-55.7,140,920
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-12 06:00:00," TS",21.7,-56.6,140,920
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-12 12:00:00," TS",21.6,-57.4,140,920
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-12 18:00:00," TS",21.7,-58.2,140,920
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-13 00:00:00," TS",21.8,-59.1,135,925
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-13 06:00:00," TS",21.9,-60.1,130,935
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-13 12:00:00," TS",22.1,-61,135,935
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-13 18:00:00," TS",22.5,-62.1,140,932
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-14 00:00:00," TS",22.9,-63.3,135,935
"2003249N14329",2003,2003,13," NA"," NA","ISABEL",2003-09-14 06:00:00," TS",23.2,-64.6,135,939
