"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-02 18:00:00," TS",9.7,-27.6,25,1009
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-03 00:00:00," TS",9.7,-28.7,30,1007
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-03 06:00:00," TS",9.7,-30.3,35,1005
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-03 12:00:00," TS",9.5,-32.1,40,1003
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-03 18:00:00," TS",9.3,-33.6,45,1000
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-04 00:00:00," TS",9.1,-35,45,999
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-04 06:00:00," TS",8.9,-36.5,50,997
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-04 12:00:00," TS",8.9,-38.2,50,997
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-04 18:00:00," TS",9,-39.9,55,994
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-05 00:00:00," TS",9.3,-41.4,60,991
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-05 06:00:00," TS",9.5,-43.4,65,987
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-05 12:00:00," TS",9.8,-45.1,85,977
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-05 18:00:00," TS",10.2,-46.8,110,955
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-06 00:00:00," TS",10.6,-48.5,115,948
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-06 06:00:00," TS",10.8,-50.5,110,950
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-06 12:00:00," TS",11,-52.5,110,955
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-06 18:00:00," TS",11.3,-54.4,90,969
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-07 00:00:00," TS",11.2,-56.1,90,964
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-07 06:00:00," TS",11.3,-57.8,95,965
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-07 12:00:00," TS",11.6,-59.4,100,963
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-07 18:00:00," TS",11.8,-61.1,105,956
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-07 21:30:00," TS",11.9,-61.8,110,952
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-08 00:00:00," TS",12,-62.6,115,950
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-08 06:00:00," TS",12.3,-64.1,120,946
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-08 12:00:00," TS",12.6,-65.5,120,955
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-08 18:00:00," TS",13,-67,120,950
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-09 00:00:00," TS",13.3,-68.3,130,938
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-09 06:00:00," TS",13.7,-69.5,140,925
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-09 12:00:00," TS",14.2,-70.8,140,919
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-09 18:00:00," TS",14.7,-71.9,130,921
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-10 00:00:00," TS",15.2,-72.8,130,923
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-10 06:00:00," TS",15.7,-73.8,125,930
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-10 12:00:00," TS",16.2,-74.7,125,934
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-10 18:00:00," TS",16.8,-75.8,120,940
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-11 00:00:00," TS",17.3,-76.5,135,926
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-11 03:30:00," TS",17.4,-77.2,130,924
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-11 06:00:00," TS",17.4,-77.6,130,923
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-11 12:00:00," TS",17.7,-78.4,125,925
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-11 18:00:00," TS",18,-79,145,920
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-12 00:00:00," TS",18.2,-79.6,145,910
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-12 06:00:00," TS",18.4,-80.4,135,915
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-12 12:00:00," TS",18.8,-81.2,135,919
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-12 14:15:00," TS",18.9,-81.5,130,920
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-12 18:00:00," TS",19.1,-82.1,130,920
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-13 00:00:00," TS",19.5,-82.8,140,916
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-13 06:00:00," TS",19.9,-83.5,140,920
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-13 12:00:00," TS",20.4,-84.1,140,915
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-13 18:00:00," TS",20.9,-84.7,140,912
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-13 21:00:00," TS",22.1,-84.8,140,910
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-14 00:00:00," TS",21.6,-85.1,140,914
"2004247N10332",2004,2004,9," NA"," CS","IVAN",2004-09-14 01:00:00," TS",21.7,-85.2,140,916
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-14 06:00:00," TS",22.4,-85.6,140,924
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-14 12:00:00," TS",23,-86,125,930
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-14 18:00:00," TS",23.7,-86.5,120,931
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-15 00:00:00," TS",24.7,-87,120,928
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-15 06:00:00," TS",25.6,-87.4,120,935
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-15 12:00:00," TS",26.7,-87.9,115,939
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-15 18:00:00," TS",27.9,-88.2,115,937
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-16 00:00:00," TS",28.9,-88.2,110,931
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-16 06:00:00," TS",30,-87.9,105,943
"2004247N10332",2004,2004,9," NA"," GM","IVAN",2004-09-16 06:50:00," TS",30.2,-87.9,105,946
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-16 12:00:00," TS",31.4,-87.7,70,965
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-16 18:00:00," TS",32.5,-87.4,50,975
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-17 00:00:00," TS",33.8,-86.5,30,986
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-17 06:00:00," TS",34.7,-85.7,25,991
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-17 12:00:00," TS",35.4,-84,20,994
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-17 18:00:00," TS",36.2,-82.3,20,996
"2004247N10332",2004,2004,9," NA"," NA","IVAN",2004-09-18 00:00:00," TS",37,-80.5,20,999
