"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-11 06:00:00," TS",11.1,-97.1,30,1010
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-11 12:00:00," TS",11.2,-98.2,30,1008
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-11 18:00:00," TS",11.2,-99.4,35,1006
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-12 00:00:00," TS",11.3,-100.6,40,1004
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-12 06:00:00," TS",11.5,-101.7,45,1002
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-12 12:00:00," TS",11.8,-102.8,45,999
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-12 18:00:00," TS",12,-103.8,50,997
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-13 00:00:00," TS",12.3,-104.8,55,995
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-13 06:00:00," TS",12.5,-105.8,55,992
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-13 12:00:00," TS",12.9,-106.5,60,990
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-13 18:00:00," TS",13.3,-106.9,55,992
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-14 00:00:00," TS",13.7,-107.3,50,995
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-14 06:00:00," TS",13.9,-107.8,45,998
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-14 12:00:00," TS",14,-108.4,40,1001
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-14 18:00:00," TS",14,-109.1,40,1003
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-15 00:00:00," TS",13.9,-109.9,40,1002
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-15 06:00:00," TS",13.8,-111,45,1000
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-15 12:00:00," TS",13.7,-112,50,998
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-15 18:00:00," TS",13.6,-112.8,50,997
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-16 00:00:00," TS",13.7,-113.5,50,998
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-16 06:00:00," TS",13.7,-114.4,45,1000
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-16 12:00:00," TS",13.7,-115.4,45,1000
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-16 18:00:00," TS",13.6,-116.3,45,999
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-17 00:00:00," TS",13.8,-117.2,50,998
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-17 06:00:00," TS",14.2,-117.9,50,998
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-17 12:00:00," TS",14.6,-118.8,45,1000
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-17 18:00:00," TS",15,-119.8,45,1000
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-18 00:00:00," TS",15.3,-120.9,45,1000
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-18 06:00:00," TS",15.3,-122.3,45,1001
"1994222N11267",1994,1994,11," EP"," MM","JOHN",1994-08-18 12:00:00," TS",15.3,-124,40,1002
