"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-23 18:00:00," TS",23.1,-75.1,30,1008
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-24 00:00:00," TS",23.4,-75.7,30,1007
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-24 06:00:00," TS",23.8,-76.2,30,1007
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-24 12:00:00," TS",24.5,-76.5,35,1006
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-24 18:00:00," TS",25.4,-76.9,40,1003
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-25 00:00:00," TS",26,-77.7,45,1000
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-25 06:00:00," TS",26.1,-78.4,50,997
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-25 12:00:00," TS",26.2,-79,55,994
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-25 18:00:00," TS",26.2,-79.6,60,988
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-25 22:30:00," TS",26,-80.1,70,984
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-26 00:00:00," TS",25.9,-80.3,70,983
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-26 06:00:00," TS",25.4,-81.3,65,987
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-26 12:00:00," TS",25.1,-82,75,979
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-26 18:00:00," TS",24.9,-82.6,85,968
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-27 00:00:00," TS",24.6,-83.3,90,959
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-27 06:00:00," TS",24.4,-84,95,950
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-27 12:00:00," TS",24.4,-84.7,100,942
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-27 18:00:00," TS",24.5,-85.3,100,948
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-28 00:00:00," TS",24.8,-85.9,100,941
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-28 06:00:00," TS",25.2,-86.7,125,930
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-28 12:00:00," TS",25.7,-87.7,145,909
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-28 18:00:00," TS",26.3,-88.6,150,902
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-29 00:00:00," TS",27.2,-89.2,140,905
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-29 06:00:00," TS",28.2,-89.6,125,913
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-29 11:10:00," TS",29.3,-89.6,110,920
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-29 12:00:00," TS",29.5,-89.6,110,923
"2005236N23285",2005,2005,12," NA"," GM","KATRINA",2005-08-29 14:45:00," TS",30.2,-89.6,105,928
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-29 18:00:00," TS",31.1,-89.6,80,948
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-30 00:00:00," TS",32.6,-89.1,50,961
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-30 06:00:00," TS",34.1,-88.6,40,978
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-30 12:00:00," TS",35.6,-88,30,985
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-30 18:00:00," TS",37,-87,30,990
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-31 00:00:00," ET",38.6,-85.3,30,994
"2005236N23285",2005,2005,12," NA"," NA","KATRINA",2005-08-31 06:00:00," ET",40.1,-82.9,25,996
