"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-09 12:00:00," TS",12.4,-104.7,25,1007
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-09 18:00:00," TS",13,-105.5,30,1006
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-10 00:00:00," TS",13.5,-106.1,35,1005
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-10 06:00:00," TS",14.1,-106.5,40,1002
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-10 12:00:00," TS",14.5,-106.8,50,998
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-10 18:00:00," TS",14.9,-107.1,55,994
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-11 00:00:00," TS",15.4,-107.4,65,987
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-11 06:00:00," TS",15.7,-107.8,80,974
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-11 12:00:00," TS",15.9,-108.2,100,960
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-11 18:00:00," TS",16.1,-108.6,125,935
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-12 00:00:00," TS",16.6,-109.1,155,906
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-12 06:00:00," TS",17.1,-109.6,160,902
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-12 12:00:00," TS",17.7,-110.3,155,903
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-12 18:00:00," TS",18.4,-111,150,905
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-13 00:00:00," TS",19.1,-111.9,145,906
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-13 06:00:00," TS",19.7,-113,145,910
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-13 12:00:00," TS",20.2,-114.1,140,915
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-13 18:00:00," TS",20.6,-115.3,135,921
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-14 00:00:00," TS",21,-116.5,125,935
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-14 06:00:00," TS",21.3,-117.8,110,946
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-14 12:00:00," TS",21.6,-119,95,950
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-14 18:00:00," TS",21.9,-120.1,80,959
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-15 00:00:00," TS",22.2,-121.1,75,962
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-15 06:00:00," TS",22.5,-122.1,65,980
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-15 12:00:00," TS",22.7,-123.1,55,994
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-15 18:00:00," TS",22.8,-124,50,997
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-16 00:00:00," TS",22.8,-124.7,45,999
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-16 06:00:00," TS",22.8,-125.3,40,1000
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-16 12:00:00," TS",22.8,-125.9,35,1001
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-16 18:00:00," TS",22.9,-126.4,35,1001
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-17 00:00:00," TS",22.9,-126.8,35,1002
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-17 06:00:00," TS",23,-127.2,30,1003
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-17 12:00:00," TS",23.2,-127.6,30,1004
"1997253N12255",1997,1997,17," EP"," MM","LINDA",1997-09-17 18:00:00," TS",23.5,-128,30,1006
