"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-22 00:00:00," TS",11.6,-76.1,30,1002
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-22 06:00:00," TS",11.9,-77.1,30,1002
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-22 12:00:00," TS",12,-77.9,30,1002
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-22 18:00:00," TS",11.6,-77.9,35,1001
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-23 00:00:00," TS",11.8,-77.6,40,1000
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-23 06:00:00," TS",12.2,-77.6,45,999
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-23 12:00:00," TS",12.5,-77.8,45,999
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-23 18:00:00," TS",12.9,-78,50,998
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-24 00:00:00," TS",13.4,-77.9,55,997
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-24 06:00:00," TS",13.9,-77.8,65,990
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-24 12:00:00," TS",14.5,-77.9,75,985
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-24 18:00:00," TS",15,-78.1,90,980
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-25 00:00:00," TS",15.5,-78.4,100,965
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-25 06:00:00," TS",16,-78.9,105,951
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-25 12:00:00," TS",16.2,-79.6,115,945
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-25 18:00:00," TS",16.4,-80.3,125,926
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-26 00:00:00," TS",16.4,-81,130,923
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-26 06:00:00," TS",16.4,-81.8,135,922
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-26 12:00:00," TS",16.6,-82.6,145,914
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-26 18:00:00," TS",16.9,-83.1,155,905
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-27 00:00:00," TS",17.2,-83.8,155,910
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-27 06:00:00," TS",17.3,-84.4,150,917
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-27 12:00:00," TS",17.1,-85,150,922
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-27 18:00:00," TS",16.9,-85.4,145,928
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-28 00:00:00," TS",16.6,-85.6,140,933
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-28 06:00:00," TS",16.3,-85.6,130,938
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-28 12:00:00," TS",16.3,-85.6,115,948
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-28 18:00:00," TS",16.3,-85.7,95,959
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-29 00:00:00," TS",16.2,-85.8,85,970
"1998295N12284",1998,1998,13," NA"," CS","MITCH",1998-10-29 06:00:00," TS",16.1,-85.8,75,979
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-10-29 12:00:00," TS",15.9,-85.7,70,987
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-10-29 18:00:00," TS",15.8,-85.6,60,994
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-10-30 00:00:00," TS",15.6,-85.7,55,995
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-10-30 06:00:00," TS",15.4,-85.9,50,996
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-10-30 12:00:00," TS",15.2,-86.1,45,997
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-10-30 18:00:00," TS",14.9,-86.5,45,998
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-10-31 00:00:00," TS",14.7,-87,45,999
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-10-31 06:00:00," TS",14.5,-87.7,40,1000
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-10-31 12:00:00," TS",14.5,-88.5,35,1000
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-10-31 18:00:00," TS",14.6,-89.2,30,1001
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-11-01 00:00:00," TS",14.6,-90,30,1002
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-11-01 06:00:00," TS",14.7,-90.8,25,1003
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-11-01 12:00:00," TS",14.9,-91.5,25,1005
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-11-01 18:00:00," TS",15.5,-92.2,25,1005
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-11-02 00:00:00," DS",16.3,-92.7,20,1005
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-11-02 06:00:00," DS",17.1,-93.1,20,1005
"1998295N12284",1998,1998,13," NA"," NA","MITCH",1998-11-02 12:00:00," DS",17.9,-93.4,20,1005
"1998295N12284",1998,1998,13," NA"," GM","MITCH",1998-11-02 18:00:00," DS",18.7,-93.7,20,1005
"1998295N12284",1998,1998,13," NA"," GM","MITCH",1998-11-03 00:00:00," DS",19.2,-93.4,20,1003
"1998295N12284",1998,1998,13," NA"," GM","MITCH",1998-11-03 06:00:00," DS",19.3,-92.7,20,1003
"1998295N12284",1998,1998,13," NA"," GM","MITCH",1998-11-03 12:00:00," DS",19.4,-92.1,25,1002
"1998295N12284",1998,1998,13," NA"," GM","MITCH",1998-11-03 18:00:00," TS",19.6,-91.4,40,997
"1998295N12284",1998,1998,13," NA"," GM","MITCH",1998-11-04 00:00:00," TS",20,-90.6,35,997
"1998295N12284",1998,1998,13," NA"," GM","MITCH",1998-11-04 02:00:00," TS",20.1,-90.5,35,998
