"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-25 06:00:00," NR",12,98.5,25,1004
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-25 09:00:00," NR",12.5,98.5,25,1004
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-25 12:00:00," NR",12.5,98,25,1002
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-25 18:00:00," NR",12.5,98,25,1002
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-26 00:00:00," NR",13.5,96.5,30,1002
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-26 03:00:00," NR",13.5,95.5,35,1002
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-26 06:00:00," NR",13.5,95,35,1002
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-26 09:00:00," NR",14,94.5,35,1002
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-26 12:00:00," NR",14.5,94,45,998
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-26 15:00:00," NR",15,93.5,45,998
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-26 18:00:00," NR",15,93.5,45,998
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-26 21:00:00," NR",15,93,45,998
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-27 00:00:00," NR",15.5,93,45,998
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-27 03:00:00," NR",16,92,55,992
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-27 06:00:00," NR",16.5,91.5,55,992
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-27 09:00:00," NR",16.5,91,55,992
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-27 12:00:00," NR",17,90.5,55,992
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-27 15:00:00," NR",17,90.5,65,986
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-27 18:00:00," NR",17,90.5,65,986
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-27 21:00:00," NR",17,90,65,986
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-28 00:00:00," NR",17.5,90,65,986
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-28 03:00:00," NR",18,89,77,978
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-28 06:00:00," NR",18,88.5,90,968
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-28 09:00:00," NR",18.5,88,102,956
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-28 12:00:00," NR",18.5,88,115,940
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-28 15:00:00," NR",19,87.5,127,928
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-28 18:00:00," NR",19.3,87,140,912
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-28 21:00:00," NR",19.3,87.2,140,912
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-29 00:00:00," NR",19.6,87,140,912
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-29 03:00:00," NR",19.9,86.7,140,912
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-29 06:00:00," NR",20.5,86,140,912
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-29 12:00:00," NR",20.5,86,0,0
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-29 18:00:00," NR",20.5,86,0,0
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-30 00:00:00," NR",20.5,86,0,0
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-30 03:00:00," NR",20.5,86,0,0
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-30 06:00:00," NR",20.5,86,0,0
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-30 12:00:00," NR",20.5,86,0,0
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-30 18:00:00," NR",20.5,86,0,0
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-31 00:00:00," NR",20.5,86,0,0
"1999298N12099",1999,1999,8," NI"," BB","NOT NAMED",1999-10-31 03:00:00," NR",21,87,0,0
