"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-20 06:00:00," TS",13.4,-94,25,1007
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-20 12:00:00," TS",13.3,-94.2,30,1006
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-20 18:00:00," TS",13.2,-94.6,30,1006
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-21 00:00:00," TS",13.1,-95.1,35,1004
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-21 06:00:00," TS",12.9,-96.2,35,1004
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-21 12:00:00," TS",12.9,-97.4,40,1001
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-21 18:00:00," TS",13.1,-98.7,50,997
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-22 00:00:00," TS",13.4,-100.1,60,991
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-22 06:00:00," TS",14,-101.7,75,981
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-22 12:00:00," TS",14.6,-103.1,90,969
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-22 18:00:00," TS",15.2,-104.2,115,957
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-23 00:00:00," TS",15.8,-104.9,150,920
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-23 06:00:00," TS",16.5,-105.4,180,886
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-23 12:00:00," TS",17.3,-105.6,185,872
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-23 18:00:00," TS",18.3,-105.3,180,878
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-23 23:00:00," TS",19.4,-105,130,932
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-24 00:00:00," TS",19.6,-104.9,110,946
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-24 06:00:00," TS",21.6,-103.8,50,985
"2015293N13266",2015,2015,25," EP"," MM","PATRICIA",2015-10-24 12:00:00," TS",23.2,-102.3,25,1000
