"Serial_Num","Season","Year","Num","Basin","Sub_basin","Name","ISO_time","Nature","Latitude","Longitude","Wind.WMO.","Pres.WMO."
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-15 18:00:00," TS",11.9,-96.6,30,1005
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-16 00:00:00," TS",12.1,-97.3,40,1002
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-16 06:00:00," TS",12.3,-98.1,50,997
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-16 12:00:00," TS",12.6,-98.9,60,991
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-16 18:00:00," TS",12.9,-99.7,70,984
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-17 00:00:00," TS",13.3,-100.5,85,975
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-17 06:00:00," TS",13.8,-101.4,95,966
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-17 12:00:00," TS",14.2,-102.5,120,942
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-17 18:00:00," TS",14.6,-103.9,135,928
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-18 00:00:00," TS",14.9,-105.3,150,914
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-18 06:00:00," TS",15.2,-106.6,155,906
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-18 12:00:00," TS",15.7,-107.8,155,906
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-18 18:00:00," TS",16.2,-109,140,921
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-19 00:00:00," TS",16.7,-109.9,125,936
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-19 06:00:00," TS",17.1,-110.7,110,952
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-19 12:00:00," TS",17.7,-111.3,95,965
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-19 18:00:00," TS",18.2,-111.6,75,976
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-20 00:00:00," TS",18.7,-111.8,65,984
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-20 06:00:00," TS",19.3,-111.6,60,986
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-20 12:00:00," TS",19.8,-111.2,55,989
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-20 18:00:00," TS",20.2,-110.5,55,989
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-21 00:00:00," TS",20.8,-109.7,55,989
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-21 06:00:00," TS",21.7,-108.6,55,989
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-21 12:00:00," TS",22.8,-107.2,50,989
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-21 14:00:00," TS",23.3,-106.5,50,989
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-21 18:00:00," TS",23.9,-105.7,30,1000
"2009288N07267",2009,2009,22," EP"," MM","RICK",2009-10-21 20:00:00," TS",24.3,-105.2,30,1001
