"ID","Basin","Season","Year","Month","Name"
"1980005S14120","SI","1980",1980,1,"AMY"
"1980018S10130","SI","1980",1980,1,"BRIAN"
"1980027S11129","SI","1980",1980,1,"DEAN"
"1980043S16131","SI","1980",1980,2,"ENID"
"1980051S12102","SI","1980",1980,2,"FRED"
"1980133N07149","WP","1980",1980,5,"ELLEN"
"1980201N08155","WP","1980",1980,7,"KIM"
"1980257N17133","WP","1980",1980,9,"PERCY"
"1980260N13256","EP","1980",1980,9,"KAY"
"1980296N05165","WP","1980",1980,10,"BETTY"
"1980308S05102","SI","1981",1980,11,"ADELAIDE:ALICE"
"1980348S11116","SI","1981",1980,12,"CAROL"
"1980357S11127","SI","1981",1980,12,"FELIX"
"1981012S12110","SI","1981",1981,1,"MABEL"
"1981055S19120","SI","1981",1981,2,"NEIL"
"1981255N14311","NAt","1981",1981,9,"HARVEY"
"1981256N10150","WP","1981",1981,9,"CLARA"
"1981319N07163","WP","1981",1981,11,"IRMA"
"1981343N05150","WP","1981",1981,12,"KIT"
"1981353S09172","SP","1982",1981,12,"GYAN"
"1982005S10105","SI","1982",1982,1,"CHRIS:DAMIA"
"1982077N04161","WP","1982",1982,3,"NELSON"
"1982091S03159","SP","1982",1982,4,"BERNIE"
"1982095S11138","SP","1982",1982,4,"DOMINIC"
"1982202N12148","WP","1982",1982,7,"ANDY"
"1982213N13145","WP","1982",1982,8,"CECIL"
"1982229N09154","WP","1982",1982,8,"ELLIS"
"1982257N20291","NAt","1982",1982,9,"DEBBY"
"1982262N11258","EP","1982",1982,9,"OLIVIA"
"1982283N17148","WP","1982",1982,10,"NANCY"
"1983042S11158","SP","1983",1983,2,"ELINOR"
"1983051S15214","SP","1983",1983,2,"NISHA:ORAMA"
"1983054S15179","SP","1983",1983,2,"OSCAR"
"1983066S11213","SP","1983",1983,3,"REWA"
"1983086S08204","SP","1983",1983,3,"TOMASI"
"1983097S10224","SP","1983",1983,4,"VEENA"
"1983160N11266","EP","1983",1983,6,"BARBARA"
"1983201N08144","WP","1983",1983,7,"WAYNE"
"1983208N11265","EP","1983",1983,7,"HENRIETTE"
"1983239N10183","WP","1983",1983,8,"ELLEN"
"1983243N12259","EP","1983",1983,8,"KIKO"
"1983259N08161","WP","1983",1983,9,"FORREST"
"1983281N12256","EP","1983",1983,10,"RAYMOND"
"1983285N09260","EP","1983",1983,10,"TICO"
"1983299N07172","WP","1983",1983,11,"MARGE"
"1983317N12153","WP","1983",1983,11,"ORCHID"
"1984177N10254","EP","1984",1984,6,"DOUGLAS"
"1984180N10258","EP","1984",1984,6,"ELIDA"
"1984204N21162","WP","1984",1984,7,"DINAH"
"1984217N14264","EP","1984",1984,8,"ISELLE"
"1984253N29283","NAt","1984",1984,9,"DIANA"
"1984259N19245","EP","1984",1984,9,"NORBERT"
"1984302N00149","WP","1984",1984,11,"AGNES"
"1984313N14154","WP","1984",1984,11,"BILL"
"1984336N05156","WP","1984",1984,12,"DOYLE"
"1985017S15146","SP","1985",1985,1,"ODETTE"
"1985060S11112","SI","1985",1985,3,"KIRSTY"
"1985078S14138","SP","1985",1985,3,"SANDY"
"1985201N12256","EP","1985",1985,7,"JIMENA"
"1985202N13226","EP","1985",1985,7,"IGNACIO"
"1985244N14254","EP","1985",1985,9,"RICK"
"1985260N13336","NAt","1985",1985,9,"GLORIA"
"1986061S13124","SI","1986",1986,3,"VICTOR"
"1986179N11175","WP","1986",1986,7,"PEGGY"
"1986198N10245","EP","1986",1986,7,"ESTELLE"
"1986233N10263","EP","1986",1986,8,"JAVIER"
"1986259N07170","WP","1986",1986,9,"BEN"
"1986289N10267","EP","1986",1986,10,"ROSLYN"
"1986330N05173","WP","1986",1986,11,"KIM"
"1987053S15127","SI","1987",1987,2,"ELSIE"
"1987188N10151","WP","1987",1987,7,"THELMA"
"1987200N04191","WP","1987",1987,7,"WYNNE"
"1987219N08134","WP","1987",1987,8,"BETTY"
"1987231N10159","WP","1987",1987,8,"DINAH"
"1987244N11177","WP","1987",1987,9,"HOLLY"
"1987247N09150","WP","1987",1987,9,"FREDA"
"1987253N11260","EP","1987",1987,9,"MAX"
"1987279N12256","EP","1987",1987,10,"RAMON"
"1987288N13168","WP","1987",1987,10,"LYNN"
"1988006S05182","SP","1988",1988,1,"ANNE"
"1988037S13109","SI","1988",1988,2,"EZENINA:GWENDA"
"1988211N12239","EP","1988",1988,7,"FABIO"
"1988213N11262","EP","1988",1988,7,"HECTOR"
"1988264N13328","NAt","1988",1988,9,"HELENE"
"1988274N12142","WP","1988",1988,10,"NELSON"
"1988285N09318","NAt","1988",1988,10,"JOAN:MIRIAM"
"1989037S16164","SP","1989",1989,2,"HARRY"
"1989084S18122","SI","1989",1989,3,"NED"
"1989089S11158","SP","1989",1989,3,"AIVU"
"1989103N07154","WP","1989",1989,4,"ANDY"
"1989190N20160","WP","1989",1989,7,"GORDON"
"1989243N12339","NAt","1989",1989,8,"GABRIELLE"
"1989252N11260","EP","1989",1989,9,"OCTAVE"
"1989268N14261","EP","1989",1989,9,"RAYMOND"
"1989286N14137","WP","1989",1989,10,"ELSIE"
"1990028S10183","SP","1990",1990,1,"OFA"
"1990124N09088","NI","1990",1990,5,"NOT_NAMED"
"1990201N12254","EP","1990",1990,7,"HERNAN"
"1990251N12238","EP","1990",1990,9,"MARIE"
"1990267N13252","EP","1990",1990,9,"ODILE"
"1990289N10261","EP","1990",1990,10,"TRUDY"
"1990309N08167","WP","1990",1990,11,"PAGE"
"1990310N07152","WP","1990",1990,11,"MIKE"
"1990347N05173","WP","1990",1990,12,"RUSS"
"1991099S10132","SI","1991",1991,4,"MARIAN"
"1991113N10091","NI","1991",1991,4,"NOT_NAMED"
"1991124N05152","WP","1991",1991,5,"WALT"
"1991248N27304","NAt","1991",1991,9,"CLAUDETTE"
"1991256N13171","WP","1991",1991,9,"MIREILLE"
"1991264N10260","EP","1991",1991,9,"JIMENA"
"1991268N12264","EP","1991",1991,9,"KEVIN"
"1991289N06156","WP","1991",1991,10,"RUTH"
"1991301N08173","WP","1991",1991,11,"SETH"
"1991335S04095","SI","1992",1991,12,"GRAHAM"
"1992055S12119","SI","1992",1992,2,"IAN"
"1992055S13169","SP","1992",1992,2,"ESAU"
"1992056S11102","SI","1992",1992,2,"HARRIET:HEATHER"
"1992064S10184","SP","1992",1992,3,"FRAN"
"1992096S05101","SI","1992",1992,4,"IRNA:JANE"
"1992096S08132","SI","1992",1992,4,"NEVILLE"
"1992175N12269","EP","1992",1992,6,"CELIA"
"1992191N12252","EP","1992",1992,7,"ESTELLE"
"1992195N14254","EP","1992",1992,7,"FRANK"
