"ISO3","Name","C5","C5 up","C5 lw","C5 unit-area","C5 unit-area SD","C4","C4 up","C4 lw","C4 unit-area","C4 unit-area SD","C3","C3 up","C3 lw","C3 unit-area","C3 unit-area SD"
"ABW","Aruba","0.05","0.18","0","0.02","0.02","0.03","0.09","0","0.01","0.02","-","-","-","-","-"
"AIA","Anguilla","0.05","0.18","0","0.01","0.03","0.57","1.44","0.14","0.14","0.08","0.13","0.34","0.02","0.03","0.03"
"ANT","Netherlands Antilles","0.11","0.35","0","0.01","0.02","0.65","1.7","0.14","0.07","0.08","0.15","0.4","0.02","0.01","0.02"
"ATG","Antigua and Barbuda","0.16","0.51","0.01","0.03","0.03","0.6","1.49","0.16","0.12","0.08","0.23","0.59","0.05","0.05","0.02"
"AUS","Australia","5.52","15.45","0.6","0.02","0.05","11.04","27.99","2.7","0.05","0.09","8.7","20.02","1.48","0.04","0.06"
"BGD","Bangladesh","-","-","-","-","-","0.1","0.35","0","0.01","0.01","0.05","0.13","0","0","0.01"
"BHS","Bahamas","1.33","3.98","0.13","0.04","0.04","1","3.02","0.09","0.03","0.04","0.9","2.34","0.18","0.03","0.03"
"BLZ","Belize","0.14","0.44","0","0.02","0.01","0.71","2.15","0.05","0.08","0.09","0.06","0.19","0","0.01","0.01"
"BMU","Bermuda","-","-","-","-","-","0.22","0.58","0.04","0.05","0.05","0.1","0.29","0.01","0.03","0.03"
"BRB","Barbados","0.14","0.36","0.03","0.07","0.02","0.11","0.32","0.01","0.05","0.04","0.02","0.06","0","0.01","0.01"
"CHN","China","0.19","0.53","0.01","0","0.01","1.9","4.87","0.42","0.04","0.04","1.73","3.75","0.45","0.04","0.03"
"COL","Colombia","-","-","-","-","-","0.19","0.62","0","0","0.01","-","-","-","-","-"
"COM","Comoros","-","-","-","-","-","0.08","0.24","0","0.01","0.01","-","-","-","-","-"
"CRI","Costa Rica","-","-","-","-","-","-","-","-","-","-","0.07","0.2","0","0.01","0.01"
"CUB","Cuba","0.68","2.06","0.05","0.02","0.03","2.36","6.89","0.28","0.06","0.05","0.63","1.74","0.07","0.02","0.02"
"CYM","Cayman Islands","0.11","0.32","0.01","0.02","0.03","0.41","1.12","0.07","0.07","0.04","0.06","0.19","0","0.01","0.02"
"DOM","Dominican Republic","0.14","0.44","0","0.01","0.02","0.52","1.48","0.07","0.03","0.03","0.38","1.11","0.01","0.02","0.02"
"FJI","Fiji","0.15","0.41","0","0.01","0.01","0.42","1.05","0.05","0.02","0.03","0.12","0.31","0","0.01","0.01"
"FSM","Micronesia, Federated States of","0.09","0.26","0.01","0.01","0.01","0.49","1.17","0.15","0.03","0.06","0.33","0.72","0.08","0.02","0.04"
