"ISO3","Name","Area(km2)","C5","C5 SD","C5 unit-area","C5 unit-area SD","C4","C4 SD","C4 unit-area","C4 unit-area SD","C3","C3 SD","C3 unit-area","C3 unit-area SD"
"ABW","Aruba",0.99,"0.05","0.13","0.02","0.01","0.02","0.09","0.01","0.01","-","-","-","-"
"AIA","Anguilla",0.05,"0.05","0.16","0.01","0.02","0.51","0.47","0.13","0.07","0.15","0.22","0.04","0.03"
"ANT","Netherlands Antilles",2.97,"0.1","0.12","0.01","0.02","0.59","0.31","0.06","0.07","0.17","0.15","0.02","0.03"
"ATG","Antigua and Barbuda",9.25,"0.15","0.22","0.03","0.03","0.54","0.4","0.11","0.08","0.27","0.25","0.05","0.02"
"AUS","Australia",9634.85,"5.61","0.27","0.03","0.04","11.07","0.36","0.05","0.09","10.56","0.42","0.05","0.07"
"BGD","Bangladesh",4456.79,"-","-","-","-","0.1","0.08","0.01","0.01","0.05","0.06","0","0.01"
"BHS","Bahamas",809.88,"1.2","0.26","0.04","0.04","0.9","0.22","0.03","0.03","1.05","0.2","0.03","0.03"
"BLZ","Belize",570.74,"0.12","0.12","0.01","0.01","0.63","0.59","0.07","0.08","0.07","0.12","0.01","0.02"
"BMU","Bermuda",0.1,"-","-","-","-","0.2","0.24","0.05","0.04","0.12","0.21","0.03","0.03"
"BRB","Barbados",0.35,"0.12","0.24","0.06","0.02","0.1","0.27","0.05","0.03","0.02","0.11","0.01","0.02"
"CHN","China",172.14,"0.2","0.07","0","0.01","2","0.24","0.04","0.04","1.93","0.21","0.04","0.04"
"COL","Colombia",2132.14,"-","-","-","-","0.17","0.08","0","0.01","-","-","-","-"
"COM","Comoros",1.09,"-","-","-","-","0.07","0.11","0.01","0.01","-","-","-","-"
"CRI","Costa Rica",390.35,"-","-","-","-","-","-","-","-","0.07","0.08","0.01","0.01"
"CUB","Cuba",4280.83,"0.61","0.14","0.01","0.02","2.12","0.33","0.05","0.04","0.73","0.16","0.02","0.02"
"CYM","Cayman Islands",75.87,"0.1","0.15","0.02","0.03","0.37","0.29","0.06","0.03","0.07","0.14","0.01","0.02"
"DOM","Dominican Republic",180.47,"0.12","0.09","0.01","0.01","0.46","0.17","0.02","0.03","0.44","0.2","0.02","0.02"
"FJI","Fiji",1102.36,"0.17","0.1","0.01","0.01","0.49","0.18","0.02","0.03","0.15","0.08","0.01","0.01"
"FSM","Micronesia, Federated States of",98.85,"0.1","0.08","0.01","0.01","0.51","0.24","0.04","0.06","0.37","0.21","0.03","0.04"
"GLP","Guadeloupe",30.32,"0.24","0.25","0.03","0.03","0.73","0.38","0.09","0.07","0.41","0.26","0.05","0.03"
"GMB","Gambia",677.28,"-","-","-","-","0.05","0.07","0","0.01","-","-","-","-"
"GNB","Guinea-Bissau",2750.89,"-","-","-","-","0.05","0.07","0","0.01","-","-","-","-"
"GRD","Grenada",2.12,"0.22","0.25","0.04","0.03","0.24","0.22","0.04","0.03","0.02","0.06","0","0.01"
"GTM","Guatemala",347.46,"0.2","0.13","0.01","0.02","0.24","0.14","0.02","0.02","0.02","0.04","0","0.01"
"GUM","Guam",0.32,"0.07","0.16","0.02","0","0.46","0.43","0.15","0.03","0.22","0.32","0.07","0.06"
"HKG","Hong Kong",5.67,"-","-","-","-","0.15","0.22","0.03","0.02","0.1","0.17","0.02","0.02"
"HND","Honduras",670.36,"0.39","0.29","0.02","0.04","0.44","0.18","0.02","0.02","0.12","0.09","0.01","0.01"
"HTI","Haiti",146.7,"0.15","0.11","0.01","0.02","0.37","0.22","0.02","0.03","0.22","0.13","0.01","0.02"
"IDN","Indonesia",27076.23,"0.73","0.06","0","0.01","0.54","0.05","0","0.01","0.29","0.04","0","0.01"
"IND","India",3868.46,"0.1","0.04","0","0.01","0.71","0.15","0.01","0.02","0.41","0.11","0.01","0.02"
"JAM","Jamaica",95.98,"0.37","0.28","0.05","0.04","0.51","0.32","0.06","0.02","0.15","0.17","0.02","0.02"
"JPN","Japan",10,"0.15","0.09","0.01","0.01","3.63","0.66","0.19","0.12","4.17","0.76","0.22","0.12"
"KNA","Saint Kitts and Nevis",0.53,"0.05","0.13","0.02","0.03","0.34","0.48","0.11","0.1","0.17","0.23","0.06","0.03"
"LCA","Saint Lucia",1.4,"0.24","0.29","0.06","0.03","0.07","0.13","0.02","0.02","0.05","0.11","0.01","0.01"
"MAC","Macau",0.04,"-","-","-","-","0.05","0.16","0.02","0","-","-","-","-"
"MDG","Madagascar",2377.44,"0.44","0.17","0.01","0.03","1.29","0.25","0.03","0.04","0.93","0.19","0.02","0.03"
"MEX","Mexico",7296.58,"1.49","0.14","0.01","0.02","4.17","0.27","0.03","0.05","2.78","0.2","0.02","0.03"
"MHL","Marshall Islands",0.01,"-","-","-","-","0.15","0.17","0.02","0.02","-","-","-","-"
"MMR","Burma",5075.79,"0.15","0.09","0","0.01","0.05","0.03","0","0.01","0.39","0.13","0.01","0.02"
"MNP","Northern Mariana Islands",0.27,"0.02","0.09","0.01","0.01","0.46","0.41","0.15","0.04","0.24","0.28","0.08","0.01"
"MOZ","Mozambique",2957.03,"0.44","0.14","0.01","0.02","1.27","0.25","0.03","0.04","0.2","0.07","0","0.01"
"MTQ","Martinique",10.82,"0.29","0.32","0.06","0.04","0.05","0.1","0.01","0.01","0.17","0.21","0.03","0.04"
"MYT","Mayotte",5.16,"-","-","-","-","0.02","0.08","0.01","0.01","0.15","0.27","0.04","0.04"
"NCL","New Caledonia",247.67,"-","-","-","-","0.66","0.25","0.05","0.04","0.24","0.13","0.02","0.02"
"NIC","Nicaragua",736.39,"0.02","0.03","0","0.01","0.8","0.33","0.04","0.05","0.34","0.15","0.02","0.02"
"NZL","New Zealand",271.45,"-","-","-","-","0.17","0.11","0.01","0.02","0.05","0.05","0","0.01"
"OMN","Oman",2.65,"-","-","-","-","0.24","0.23","0.02","0.03","-","-","-","-"
"PAK","Pakistan",507.48,"-","-","-","-","-","-","-","-","0.07","0.08","0","0.01"
"PAN","Panama",1537.48,"-","-","-","-","-","-","-","-","0.2","0.22","0.01","0.03"
"PHL","Philippines",2590.37,"0.29","0.05","0","0.01","4.66","0.26","0.05","0.08","4.63","0.25","0.05","0.05"
"PLW","Palau",56.81,"0.02","0.06","0","0.01","0.12","0.17","0.02","0.02","-","-","-","-"
"PNG","Papua New Guinea",4746.46,"0.39","0.1","0","0.02","0.56","0.14","0.01","0.02","0.22","0.07","0","0.01"
"PRI","Puerto Rico",83.22,"0.24","0.22","0.03","0.03","0.32","0.21","0.04","0.03","0.34","0.27","0.04","0.03"
"SEN","Senegal",1233.88,"-","-","-","-","0.05","0.06","0","0.01","-","-","-","-"
"SLB","Solomon Islands",465.85,"0.1","0.05","0","0.01","0.54","0.22","0.02","0.04","0.07","0.06","0","0.01"
"SLV","El Salvador",338.82,"0.07","0.12","0.01","0.02","0.2","0.16","0.02","0.01","-","-","-","-"
"SYC","Seychelles",10.94,"-","-","-","-","0.02","0.05","0","0.01","-","-","-","-"
"TCA","Turks and Caicos Islands",171.88,"0.22","0.23","0.04","0.03","0.27","0.24","0.04","0.04","0.27","0.26","0.04","0.04"
"THA","Thailand",2451.2,"-","-","-","-","-","-","-","-","0.05","0.04","0","0.01"
"TLS","Timor-Leste",10.67,"0.17","0.19","0.02","0.03","0.02","0.05","0","0.01","-","-","-","-"
"TON","Tonga",7.83,"0.02","0.06","0","0.01","0.07","0.12","0.01","0.02","0.05","0.08","0.01","0.01"
"TTO","Trinidad and Tobago",63.68,"0.12","0.16","0.02","0.03","0.07","0.09","0.01","0.02","0.05","0.08","0.01","0.01"
"TUV","Tuvalu",0.08,"0.05","0.11","0.01","0.01","-","-","-","-","-","-","-","-"
"TWN","Taiwan",1.4,"0.02","0.05","0","0.01","1.68","0.74","0.19","0.1","0.71","0.34","0.08","0.06"
"TZA","United Republic of Tanzania",986.63,"0.05","0.07","0","0.01","-","-","-","-","-","-","-","-"
"USA","United States",2360.2,"1.15","0.18","0.02","0.03","1.68","0.26","0.03","0.03","0.61","0.13","0.01","0.02"
"VCT","Saint Vincent and the Grenadines",0.47,"0.15","0.25","0.04","0.03","0.17","0.23","0.04","0.02","0.02","0.08","0.01","0.01"
"VEN","Venezuela",3355.16,"0.32","0.09","0.01","0.02","0.37","0.09","0.01","0.01","0.1","0.04","0","0.01"
"VGB","British Virgin Islands",0.78,"0.29","0.32","0.06","0.04","0.34","0.29","0.07","0.05","0.34","0.34","0.07","0.04"
"VIR","United States Virgin Islands",1.86,"0.29","0.36","0.07","0.03","0.17","0.23","0.04","0.04","0.29","0.36","0.07","0.04"
"VNM","Viet Nam",2155.29,"0.07","0.04","0","0.01","0.37","0.11","0.01","0.02","0.56","0.13","0.01","0.02"
"VUT","Vanuatu",13.65,"0.12","0.14","0.02","0.02","0.1","0.2","0.02","0.03","0.78","0.53","0.13","0.05"
"WLF","Wallis and Futuna Islands",0.14,"0.05","0.18","0.02","0.03","-","-","-","-","-","-","-","-"
"WSM","Samoa",3.77,"-","-","-","-","0.07","0.14","0.01","0.03","0.24","0.35","0.04","0.04"
"YEM","Yemen",10.71,"-","-","-","-","0.12","0.14","0.01","0.02","-","-","-","-"
