"ISO3","Name","C5 Present HRI","C5 Present HRI SD","C5 Future HRI","C5 Future HRI up SD","C5 Future HRI lw SD","C4 Present HRI","C4 Present HRI SD","C4 Future HRI","C4 Future HRI up SD","C4 Future HRI lw SD","C3 Present HRI","C3 Present HRI SD","C3 Future HRI","C3 Future HRI up SD","C3 Future HRI lw SD"
"ABW","Aruba","0.12","0.31","0.13","0.3","0.13","0.03","0.1","0.03","0.07","0.03","-","-","-","-","-"
"AIA","Anguilla","0.12","0.38","0.13","0.3","0.13","0.56","0.52","0.62","0.95","0.47","0.01","0.02","0.01","0.02","0.01"
"ANT","Netherlands Antilles","0.24","0.3","0.27","0.6","0.27","0.64","0.35","0.71","1.15","0.56","0.01","0.02","0.01","0.02","0.01"
"ATG","Antigua and Barbuda","0.36","0.54","0.4","0.84","0.38","0.58","0.44","0.65","0.98","0.49","0.02","0.03","0.02","0.03","0.02"
"AUS","Australia","13.74","0.87","13.51","24.33","12.05","12.03","1.46","11.99","18.46","9.17","0.9","0.75","0.74","1.15","0.87"
"BGD","Bangladesh","-","-","-","-","-","0.11","0.09","0.11","0.27","0.11","-","0.01","-","0.01","0.01"
"BHS","Bahamas","2.93","0.64","3.26","6.49","2.95","0.98","0.27","1.09","2.19","1","0.09","0.08","0.08","0.14","0.09"
"BLZ","Belize","0.3","0.29","0.33","0.75","0.33","0.69","0.65","0.77","1.57","0.71","0.01","0.01","0.01","0.01","0.01"
"BMU","Bermuda","-","-","-","-","-","0.21","0.26","0.24","0.4","0.19","0.01","0.02","0.01","0.02","0.01"
"BRB","Barbados","0.3","0.59","0.33","0.55","0.26","0.11","0.29","0.12","0.23","0.11","-","0.01","-","-","-"
"CHN","China","0.48","0.18","0.46","0.85","0.43","2.17","0.36","2.07","3.23","1.63","0.16","0.14","0.15","0.21","0.16"
"COL","Colombia","-","-","-","-","-","0.19","0.08","0.21","0.47","0.21","-","-","-","-","-"
"COM","Comoros","-","-","-","-","-","0.08","0.12","0.08","0.18","0.08","-","-","-","-","-"
"CRI","Costa Rica","-","-","-","-","-","-","-","-","-","-","0.01","0.01","0.01","0.01","0.01"
