"Distance","Variable","h5-Group","h5-Mean","h5-SD","h5-n","h4-Group","h4-Mean","h4-SD","h4-n","h3-Group","h3-Mean","h3-SD","h3-n","h2-Group","h2-Mean","h2-SD","h2-n","h1-Group","h1-Mean","h1-SD","h1-n"
10,"EVI","i",0.83,0.09,113,"i",0.9,0.1,229,"c",0.95,0.08,168,"b",0.97,0.07,143,"b",0.98,0.07,261
20,"EVI","ef",0.85,0.09,102,"h",0.88,0.15,280,"ef",0.96,0.06,190,"bc",0.99,0.06,165,"de",0.98,0.07,253
30,"EVI","e",0.87,0.11,136,"g",0.91,0.09,267,"g",0.95,0.07,212,"cdef",0.99,0.05,129,"de",0.98,0.07,300
40,"EVI","f",0.9,0.09,170,"c",0.92,0.07,215,"gh",0.96,0.07,200,"de",0.97,0.06,170,"fg",0.98,0.05,263
50,"EVI","g",0.89,0.1,136,"hi",0.93,0.1,211,"e",0.97,0.06,178,"bc",0.99,0.06,170,"ef",0.98,0.07,337
60,"EVI","f",0.92,0.09,148,"fg",0.96,0.09,245,"c",0.97,0.06,201,"bc",0.99,0.07,159,"ab",0.99,0.07,296
70,"EVI","f",0.94,0.1,182,"f",0.96,0.07,199,"ef",0.99,0.06,216,"f",0.98,0.05,141,"b",0.97,0.08,313
80,"EVI","b",0.96,0.09,171,"gh",0.96,0.06,246,"ab",0.99,0.07,183,"j",0.96,0.08,150,"cd",0.98,0.05,284
90,"EVI","b",0.94,0.07,159,"e",0.96,0.08,286,"bcd",1,0.06,246,"abc",1,0.05,127,"cdef",0.99,0.05,300
100,"EVI","fg",0.96,0.08,160,"def",0.99,0.06,230,"g",0.96,0.07,259,"bcde",1,0.06,149,"c",0.99,0.05,261
10,"totalArea","j",0.74,0.17,113,"h",0.86,0.15,229,"d",0.96,0.14,168,"b",0.98,0.08,143,"a",0.99,0.06,261
20,"totalArea","f",0.78,0.15,102,"g",0.82,0.23,280,"fghi",0.96,0.09,190,"ab",0.98,0.07,165,"bcd",0.98,0.08,253
30,"totalArea","e",0.83,0.15,136,"h",0.89,0.15,267,"ijk",0.95,0.11,212,"cdef",0.99,0.05,129,"cd",0.99,0.08,300
40,"totalArea","d",0.89,0.12,170,"e",0.93,0.11,215,"e",0.95,0.12,200,"c",0.99,0.06,170,"fg",0.97,0.08,263
50,"totalArea","cd",0.86,0.15,136,"g",0.89,0.18,211,"b",0.99,0.07,178,"cde",0.98,0.08,170,"defg",0.99,0.09,337
60,"totalArea","d",0.91,0.11,148,"efg",0.96,0.15,245,"d",0.97,0.07,201,"ab",1,0.08,159,"b",0.99,0.1,296
70,"totalArea","d",0.91,0.13,182,"e",0.95,0.11,199,"c",0.99,0.07,216,"cde",0.99,0.06,141,"abc",0.98,0.09,313
80,"totalArea","b",0.94,0.14,171,"fg",0.97,0.08,246,"cde",0.99,0.07,183,"de",0.95,0.12,150,"cdefgh",0.99,0.06,284
90,"totalArea","b",0.92,0.12,159,"hi",0.95,0.12,286,"abcd",0.98,0.07,246,"cde",1,0.06,127,"a",1,0.06,300
100,"totalArea","f",0.94,0.12,160,"efg",0.99,0.08,230,"ghi",0.96,0.09,259,"bc",1.01,0.08,149,"cd",0.99,0.06,261
10,"maxPatch","e",0.74,0.26,113,"e",0.86,0.22,229,"bc",1,0.16,168,"bc",1.01,0.15,143,"abc",1,0.09,261
20,"maxPatch","hij",0.82,0.25,102,"j",0.79,0.31,280,"abcde",0.99,0.1,190,"ab",1.01,0.09,165,"abc",1.02,0.11,253
30,"maxPatch","h",0.86,0.19,136,"bc",0.94,0.29,267,"bcde",0.97,0.14,212,"abcde",1.01,0.07,129,"cde",0.98,0.13,300
40,"maxPatch","h",0.86,0.19,170,"g",0.93,0.16,215,"de",0.94,0.15,200,"bc",1,0.1,170,"b",0.96,0.11,263
50,"maxPatch","ab",0.88,0.18,136,"ghi",0.91,0.22,211,"ab",1,0.13,178,"bc",0.98,0.11,170,"de",0.99,0.14,337
60,"maxPatch","bc",0.88,0.22,148,"de",0.97,0.18,245,"g",0.95,0.15,201,"abc",0.98,0.13,159,"ac",0.98,0.14,296
70,"maxPatch","c",0.92,0.2,182,"ef",0.97,0.17,199,"d",0.96,0.13,216,"cdef",0.95,0.13,141,"b",0.99,0.13,313
80,"maxPatch","b",0.93,0.23,171,"h",0.94,0.18,246,"bc",0.98,0.11,183,"b",0.95,0.22,150,"cde",0.99,0.11,284
90,"maxPatch","b",0.91,0.18,159,"g",0.95,0.19,286,"ab",0.98,0.12,246,"abc",1,0.08,127,"bc",1,0.12,300
100,"maxPatch","bcd",0.96,0.2,160,"bcdef",0.98,0.13,230,"bcde",0.97,0.12,259,"abc",1.04,0.11,149,"ab",0.99,0.09,261
10,"meanPatch","i",0.69,0.25,113,"f",0.74,0.23,229,"efg",0.97,0.31,168,"b",0.98,0.19,143,"abcd",1.01,0.21,261
