"Level","Variable","h5-Group","h5-Mean","h5-SD","h5-n","h4-Group","h4-Mean","h4-SD","h4-n","h3-Group","h3-Mean","h3-SD","h3-n","h2-Group","h2-Mean","h2-SD","h2-n","h1-Group","h1-Mean","h1-SD","h1-n"
-4,"EVI","a",1.02,0.04,112,"ab",1.02,0.05,216,"abc",1,0.05,198,"b",1,0.05,143,"a",1.02,0.06,263
-3,"EVI","abc",0.99,0.04,117,"abc",1.01,0.04,223,"ab",1.01,0.04,206,"b",1.01,0.04,145,"ab",1,0.06,266
-2,"EVI","bcd",0.97,0.03,111,"efg",0.97,0.05,224,"cdef",0.98,0.05,205,"b",0.99,0.04,143,"b",0.98,0.05,265
-1,"EVI","ab",1.01,0.04,119,"abcd",1,0.06,230,"abc",1,0.05,214,"b",1,0.04,144,"ab",1.01,0.06,263
0,"EVI","gh",0.9,0.13,111,"i",0.91,0.14,227,"defg",0.97,0.09,209,"b",0.98,0.07,144,"b",0.98,0.09,266
1,"EVI","i",0.82,0.1,119,"hi",0.92,0.1,229,"cde",0.98,0.08,217,"b",1,0.06,143,"ab",0.99,0.07,265
2,"EVI","i",0.83,0.09,113,"i",0.9,0.1,229,"g",0.95,0.07,212,"b",0.97,0.07,143,"b",0.98,0.07,261
3,"EVI","h",0.87,0.13,117,"fg",0.96,0.09,241,"cde",0.98,0.06,220,"b",0.99,0.06,144,"ab",1,0.08,268
4,"EVI","fg",0.93,0.09,113,"cde",0.99,0.07,208,"bcd",0.99,0.07,210,"b",0.99,0.05,140,"ab",1,0.09,249
5,"EVI","gh",0.9,0.07,117,"def",0.98,0.07,197,"bcd",0.99,0.08,207,"b",1.01,0.06,137,"ab",1,0.06,242
6,"EVI","gh",0.9,0.06,111,"gh",0.94,0.06,194,"fg",0.96,0.07,206,"b",0.99,0.06,137,"b",0.97,0.07,241
7,"EVI","efg",0.93,0.09,119,"cde",0.99,0.07,197,"cdef",0.98,0.07,208,"b",0.99,0.07,135,"ab",0.99,0.07,242
8,"EVI","bcd",0.97,0.08,111,"abcd",1.01,0.08,194,"efg",0.96,0.11,205,"ab",1.01,0.07,125,"ab",1,0.06,229
9,"EVI","cdef",0.96,0.06,120,"bcde",0.99,0.07,197,"bcd",0.99,0.09,210,"ab",1.03,0.05,128,"b",0.99,0.09,231
10,"EVI","defg",0.94,0.05,112,"fg",0.96,0.07,195,"g",0.95,0.09,200,"b",1,0.06,125,"b",0.96,0.1,230
11,"EVI","cdef",0.96,0.08,118,"cde",0.99,0.06,196,"bcd",0.99,0.08,198,"ab",1.02,0.06,128,"b",0.97,0.1,231
12,"EVI","abc",0.99,0.07,108,"a",1.02,0.05,171,"abc",1.01,0.06,181,"ab",1.03,0.07,105,"b",0.99,0.11,201
13,"EVI","bcde",0.97,0.04,62,"a",1.03,0.05,92,"a",1.02,0.05,111,"a",1.05,0.05,46,"ab",1.01,0.1,90
14,"EVI","cdefg",0.95,0.07,22,"efg",0.96,0.09,46,"cdefg",0.98,0.07,61,"ab",1.01,0.02,15,"ab",1.02,0.09,19
15,"EVI","i",0.8,0.03,4,"defg",0.98,0.13,30,"g",0.94,0.05,34,"ab",1.03,0.02,4,"a",1.07,0.02,11
-4,"totalArea","a",1.02,0.06,112,"abc",1.01,0.06,216,"abcd",1.01,0.07,198,"b",1,0.06,143,"a",1,0.06,263
-3,"totalArea","a",1.02,0.06,117,"a",1.04,0.05,223,"ab",1.03,0.05,206,"ab",1.02,0.04,145,"a",1.01,0.07,266
-2,"totalArea","abcd",0.97,0.05,111,"cdef",0.98,0.06,224,"efghi",0.97,0.07,205,"b",0.99,0.04,143,"a",1,0.06,265
-1,"totalArea","ab",0.99,0.06,119,"cdef",0.98,0.08,230,"cdefgh",0.99,0.06,214,"b",0.99,0.05,144,"a",0.99,0.05,263
0,"totalArea","hi",0.83,0.23,111,"h",0.86,0.22,227,"fghij",0.97,0.11,209,"b",0.99,0.09,144,"ab",0.97,0.09,266
1,"totalArea","j",0.73,0.21,119,"g",0.91,0.15,229,"cdefg",0.99,0.1,217,"ab",1.02,0.08,143,"a",1.01,0.06,265
2,"totalArea","j",0.74,0.17,113,"h",0.86,0.15,229,"ijk",0.95,0.11,212,"b",0.98,0.08,143,"a",0.99,0.06,261
3,"totalArea","ij",0.78,0.2,117,"g",0.91,0.12,241,"hij",0.96,0.09,220,"b",0.99,0.07,144,"a",0.98,0.08,268
